Taxa,S1Dry2022-1,S1Dry2022-2,S1Dry2022-3,S1Dry2022-4,S1Dry2022-5,S1Dry2022-6,S1Dry2022-7,S1Dry2022-8,S2Dry2022-1,S2Dry2022-2,S2Dry2022-3,S2Dry2022-4,S2Dry2022-5,S2Dry2022-6,S2Dry2022-7,S2Dry2022-8,S1Rainy2022-1,S1Rainy2022-2,S1Rainy2022-3,S1Rainy2022-4,S1Rainy2022-5,S1Rainy2022-6,S1Rainy2022-7,S1Rainy2022-8,S2Rainy2022-1,S2Rainy2022-2,S2Rainy2022-3,S2Rainy2022-4,S2Rainy2022-5,S2Rainy2022-6,S2Rainy2022-7,S2Rainy2022-8,S1Dry2022-9,S2Dry2022-9,S1Rainy2022-9,S2Rainy2022-9,S1Dry2023-1,S1Dry2023-2,S1Dry2023-3,S1Dry2023-4,S1Dry2023-5,S1Dry2023-6,S1Dry2023-7,S1Dry2023-8,S2Dry2023-1,S2Dry2023-2,S2Dry2023-3,S2Dry2023-4,S2Dry2023-5,S2Dry2023-6,S2Dry2023-7,S2Dry2023-8,S1Dry2023-9,S2Dry2023-9,S1Rainy2023-1,S1Rainy2023-2,S1Rainy2023-3,S1Rainy2023-4,S1Rainy2023-5,S1Rainy2023-6,S1Rainy2023-7,S1Rainy2023-8,S2Rainy2023-1,S2Rainy2023-2,S2Rainy2023-3,S2Rainy2023-4,S2Rainy2023-5,S2Rainy2023-6,S2Rainy2023-7,S2Rainy2023-8,S1Rainy2023-9,S2Rainy2023-9
asv0037_Endozoicomonadaceae,53,59,59,57,78,66,33,60,81,60,81,41,74,71,77,42,33,89,36,0,36,0,0,0,92,91,119,91,141,0,75,72,0,0,0,0,0,0,0,0,0,0,0,0,107,111,86,99,82,55,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,97,70,70,0,0
asv0038_Endozoicomonadaceae,50,57,57,43,53,79,42,73,50,74,83,65,87,59,65,68,48,52,57,24,61,0,0,0,80,67,56,93,110,0,58,77,0,0,0,0,0,0,0,0,0,0,0,0,115,113,101,80,102,54,92,102,0,0,0,0,0,0,0,0,0,155,86,111,105,0,82,96,103,92,0,0
asv0039_Endozoicomonadaceae,38,50,56,47,67,50,55,43,60,72,56,57,72,56,79,46,39,48,61,42,32,0,31,0,60,71,68,74,73,0,62,46,0,0,0,0,0,0,0,0,0,0,0,0,79,86,76,101,85,49,84,102,0,0,0,0,0,0,0,0,0,97,98,72,92,119,89,104,79,64,0,0
asv0040_Endozoicomonadaceae,63,64,52,47,53,52,38,45,48,70,80,73,66,45,71,46,38,80,32,34,28,0,18,0,89,83,68,84,84,0,55,69,0,0,0,0,0,0,0,0,0,0,0,0,98,82,69,80,89,37,76,115,0,0,0,0,0,0,86,0,0,0,76,0,89,0,69,71,85,70,0,0
asv0041_Endozoicomonadaceae,21,8,49,13,14,21,29,15,213,278,125,512,44,103,100,168,0,89,0,65,0,0,0,0,0,0,35,11,0,0,0,30,0,0,0,0,0,10,0,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,248,771,0,0,0,374,445,0,0,0,0,0,169,0,0,0
asv0042_Endozoicomonadaceae,10,18,29,10,16,20,29,8,172,251,145,384,55,91,104,124,38,0,122,0,0,0,0,0,0,35,0,0,0,499,0,0,0,0,0,0,0,0,0,11,0,0,0,19,27,30,72,5,0,26,0,0,0,0,0,0,0,0,759,0,0,0,0,0,0,0,140,0,0,184,0,0
asv0043_Endozoicomonadaceae,27,34,49,54,42,49,35,44,53,59,50,55,72,68,47,45,43,12,22,35,48,0,15,0,96,64,38,62,67,0,48,32,0,0,0,0,0,0,0,0,0,0,0,0,75,59,77,69,75,56,97,94,0,0,0,0,0,0,0,0,0,0,60,91,100,0,86,110,80,70,0,0
asv0044_Cyanobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,503,0,0,72,0,0,0,0,0,487,820,672,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,521
asv0045_Vibrionaceae,0,0,0,11,0,0,0,0,19,31,0,47,97,139,107,261,153,0,55,41,111,0,460,217,81,55,126,150,0,0,246,124,0,0,0,0,0,33,67,0,0,0,82,27,0,0,54,17,17,0,0,82,0,0,1076,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0
asv0046_Endozoicomonadaceae,12,7,23,2,17,21,26,9,156,187,155,377,61,82,96,168,34,22,50,31,0,250,0,0,0,0,0,10,0,314,69,0,0,0,0,0,0,3,0,8,0,0,0,18,0,16,22,0,77,14,0,0,0,0,0,0,123,0,293,0,0,0,0,0,0,0,0,0,0,140,0,0
